name,t90,fluence,flux_1024
GRB120403857,   4.288,0.00000023964,  1.7469
GRB120227725,  17.408,0.000021949, 18.4653
GRB141205018,  13.056,0.0000016031,  2.1505
GRB180630467,  12.032,0.000002988,  9.4128
GRB170116238,   9.216,0.0000011231,  5.4422
GRB091026550,   8.960,0.0000013765,  3.8566
GRB150312403,   0.320,0.00000014018,  0.9922
GRB110520302,  12.288,0.0000010428,  2.8838
GRB121216419,   9.216,0.00000038503,  1.8541
GRB200107810,  81.154,0.0000040811,  3.2756
GRB101227195,  95.488,0.0000034308,  4.1583
GRB200607921,  26.625,0.000011548,  6.3797
GRB160326062,  19.456,0.000001852,  3.1215
GRB190825171,  12.032,0.00000021626,  0.5495
GRB101116481,   0.576,0.00000030435,  1.9622
GRB170130697,  29.184,0.0000013192,  1.5429
GRB110205027,   5.376,0.00000045134,  2.2791
GRB110825265,  48.128,0.0000020912,  2.0807
GRB160919613,  62.465,0.0000055262,  4.6349
GRB120830212,  16.064,0.0000075151,  8.6556
GRB140323433, 111.426,0.000032424,  9.6741
GRB181007737,  23.552,0.0000030597,  2.8347
GRB100325246,   8.192,0.000001334,  4.9033
GRB080714425,  40.192,0.0000018139,  2.0165
GRB100507577,  44.033,0.0000099681,  3.2911
GRB200907957, 140.803,0.000040466, 13.2912
GRB171206122,  15.360,0.0000015221,  4.8222
GRB190422284,  80.386,0.000013558, 11.6219
GRB140518709,   0.704,0.00000038053,  2.4540
GRB130623488,  22.272,0.0000024645,  5.2588
GRB141004150,   9.472,0.0000040962,  9.3996
GRB101024486,  20.224,0.0000033282,  8.2655
GRB200119692,  19.200,0.0000018743,  4.7410
GRB190628521,  19.200,0.0000022606,  3.1749
GRB110716018,   7.168,0.0000013547,  7.0303
GRB180804931,  18.432,0.0000081538,  9.1832
GRB140110411,   0.768,0.000000045951,  0.7766
GRB110819665,  16.384,0.0000030361, 13.4392
GRB190731943,  15.872,0.000088648, 55.5929
GRB090810659, 125.182,0.0000093687,  7.8070
GRB180723133,   3.072,0.00000052896,  2.8577
GRB180622273,  13.568,0.0000020338,  3.6637
GRB160406570,  66.560,0.0000046582,  2.5702
GRB130804023,   0.960,0.0000016629,  7.4395
GRB161020759,  24.320,0.000029248, 25.0907
GRB120114433,   2.752,0.00000014875,  1.1021
GRB170121067,   2.304,0.0000017268,  5.3378
GRB170124874,  22.784,0.0000089724,  5.3831
GRB190806675,  20.992,0.000013501, 25.7438
GRB180614327,   9.216,0.0000004126,  1.3314
GRB180906597,  52.030,0.0000037165,  2.8580
GRB110911071,   8.960,0.00000059377,  2.3830
GRB200908886,   6.144,0.0000012339,  1.8550
GRB141022087,   9.216,0.000089994, 62.8970
GRB100112418,  23.040,0.0000010497,  2.1069
GRB210411564,  47.873,0.000003749,  2.9125
GRB190304818,   2.880,0.0000029826, 16.8143
GRB180723757,  19.712,0.000043311, 41.1878
GRB200130248,  56.577,0.0000059173,  4.4268
GRB121116459,   0.832,0.00000049152,  3.3349
GRB190327111,  36.864,0.0000063281,  6.5671
GRB110212550,   0.064,0.00000063493,  2.5032
GRB190921699,  22.272,0.0000025786,  3.5283
GRB200803149, 118.274,0.000030893, 10.7469
GRB161012637,   6.400,0.00000061394,  2.1560
GRB141221897,  32.513,0.0000074393,  3.5808
GRB150602840,  10.496,0.0000047133,  3.6651
GRB091117080, 113.664,0.0000036824,  2.6390
GRB200809654,  17.408,0.0000014822,  4.7165
GRB181103046,  11.776,0.00000060455,  1.4315
GRB110517453,   0.576,0.000000098898,  1.0898
GRB200117517,  28.416,0.0000044085,  3.1546
GRB170304003,   0.160,0.00000031497,  3.7259
GRB140712973,  28.160,0.0000050997,  4.3775
GRB201227635,   0.112,0.000003429,  8.8859
GRB190507712,   0.096,0.00000011122,  0.7063
GRB090304216,   2.816,0.00000089864,  1.9128
GRB151026523,  63.232,0.0000043163,  2.4951
GRB160625230,  43.265,0.0000033536,  3.6309
GRB100604287,  13.440,0.0000055087,  7.4802
GRB140213807,  18.624,0.000021248, 36.8825
GRB090922605,  52.736,0.0000045135,  4.8212
GRB090513941,  11.776,0.0000010415,  2.4047
GRB130425327,  62.209,0.000041678, 23.7205
GRB160325291,  42.945,0.000018598,  8.4835
GRB091102607,   6.656,0.0000018772,  2.9404
GRB100926595,  32.256,0.0000069728,  8.4358
GRB191112369,  50.432,0.0000082268,  5.0522
GRB200616048,  23.297,0.000002758,  3.9101
GRB190814837,   9.984,0.0000010762,  1.4022
GRB090120627,   1.856,0.00000076823,  1.8395
GRB141022061,  11.520,0.0000005602,  1.0794
GRB170113420,  49.152,0.0000020371,  2.9311
GRB120827216,   5.056,0.0000033669,  5.0145
GRB100517639,   5.440,0.0000029107,  7.6427
GRB090802666,  27.520,0.0000027698,  3.6482
GRB110618366, 163.843,0.000062375,  9.6057
